Location,Country,City,Area,Bedrooms,AssumedSizeSqm,MonthlyRentUSD,PricePerSqmUSD,EstimatedPurchasePriceUSD,GrossRentalYieldPct,YieldIsPlausible
"Monterrey, Mexico",Mexico,Monterrey,City Centre,3,110,1944.01,4343.33,477766.3,4.8827,True
"Monterrey, Mexico",Mexico,Monterrey,Outside of Centre,3,110,1349.04,2575.49,283303.9,5.7142,True
"Delhi, India",India,Delhi,City Centre,1,50,273.35,2636.64,131832.0,2.4882,True
"Delhi, India",India,Delhi,Outside of Centre,1,50,155.33,985.18,49259.0,3.784,True
"Delhi, India",India,Delhi,City Centre,3,110,709.34,2636.64,290030.4,2.9349,True
"Delhi, India",India,Delhi,Outside of Centre,3,110,383.81,985.18,108369.8,4.25,True
"Rome, Italy",Italy,Rome,City Centre,1,50,1206.68,8528.63,426431.5,3.3957,True
"Rome, Italy",Italy,Rome,Outside of Centre,1,50,873.73,3245.53,162276.5,6.461,True
"Rome, Italy",Italy,Rome,City Centre,3,110,2569.07,8528.63,938149.3,3.2861,True
"Rome, Italy",Italy,Rome,Outside of Centre,3,110,1736.07,3245.53,357008.3,5.8354,True
"Bishkek, Kyrgyzstan",Kyrgyzstan,Bishkek,City Centre,1,50,591.59,1778.75,88937.5,7.9821,True
"Bishkek, Kyrgyzstan",Kyrgyzstan,Bishkek,Outside of Centre,1,50,408.13,1204.45,60222.5,8.1324,True
"Bishkek, Kyrgyzstan",Kyrgyzstan,Bishkek,City Centre,3,110,1079.47,1778.75,195662.5,6.6204,True
"Bishkek, Kyrgyzstan",Kyrgyzstan,Bishkek,Outside of Centre,3,110,704.97,1204.45,132489.5,6.3851,True
